job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description
JOB00012,Database Administrator,DataSphere Analytics,Hyderabad,"DataSphere Analytics is hiring a Database Administrator. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, MySQL, PostgreSQL, Oracle, Database Administration. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 0-1 years of experience.",0-1 years,B.Tech,5-8 LPA,Full-time,datasphere analytics is hiring a database administrator the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql mysql postgresql oracle database administration strong analytical thinking communication and attention to detail are required this position is based in hyderabad and requires 0 1 years of experience
JOB00013,SQL Developer,Mu Sigma,Nagpur,"Mu Sigma is hiring a SQL Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, MySQL, PostgreSQL, Database, ETL. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 2-3 years of experience.",2-3 years,Master's Degree,6-10 LPA,Internship,mu sigma is hiring a sql developer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql mysql postgresql database etl strong analytical thinking communication and attention to detail are required this position is based in nagpur and requires 2 3 years of experience
JOB00014,Software Engineer,Capgemini,Bengaluru,"Capgemini is hiring a Software Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Java, Git, SQL, REST API. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 1-2 years of experience.",1-2 years,MBA,10-15 LPA,Internship,capgemini is hiring a software engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python java git sql rest api strong analytical thinking communication and attention to detail are required this position is based in bengaluru and requires 1 2 years of experience
JOB00015,QA Engineer,Microsoft,Delhi,"Microsoft is hiring a QA Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Selenium, Python, Java, SQL, Automation Testing. Strong analytical thinking, communication and attention to detail are required. This position is based in Delhi and requires 1-2 years of experience.",1-2 years,Master's Degree,3-5 LPA,Full-time,microsoft is hiring a qa engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with selenium python java sql automation testing strong analytical thinking communication and attention to detail are required this position is based in delhi and requires 1 2 years of experience
JOB00016,Machine Learning Engineer,TCS,Thane,"TCS is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 1-2 years of experience.",1-2 years,MBA,8-12 LPA,Full-time,tcs is hiring a machine learning engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python machine learning tensorflow scikit learn docker strong analytical thinking communication and attention to detail are required this position is based in thane and requires 1 2 years of experience
JOB00017,Power BI Developer,Microsoft,Kolkata,"Microsoft is hiring a Power BI Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Power BI, DAX, Power Query, SQL, Excel. Strong analytical thinking, communication and attention to detail are required. This position is based in Kolkata and requires 3-5 years of experience.",3-5 years,MCA,8-12 LPA,Full-time,microsoft is hiring a power bi developer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with power bi dax power query sql excel strong analytical thinking communication and attention to detail are required this position is based in kolkata and requires 3 5 years of experience
JOB00018,Machine Learning Engineer,Fractal Analytics,Remote,"Fractal Analytics is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Remote and requires 2-3 years of experience.",2-3 years,MBA,3-5 LPA,Contract,fractal analytics is hiring a machine learning engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python machine learning tensorflow scikit learn docker strong analytical thinking communication and attention to detail are required this position is based in remote and requires 2 3 years of experience
JOB00019,Data Engineer,Wipro,Gurugram,"Wipro is hiring a Data Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Spark, ETL, AWS. Strong analytical thinking, communication and attention to detail are required. This position is based in Gurugram and requires 0-1 years of experience.",0-1 years,MBA,8-12 LPA,Part-time,wipro is hiring a data engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python sql spark etl aws strong analytical thinking communication and attention to detail are required this position is based in gurugram and requires 0 1 years of experience
JOB00020,Marketing Analyst,Infosys,Jaipur,"We are looking for a Marketing Analyst to join our team at Infosys in Jaipur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Excel, SQL, Python, Marketing Analytics, Power BI. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,MBA,4-6 LPA,Contract,we are looking for a marketing analyst to join our team at infosys in jaipur the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include excel sql python marketing analytics power bi experience with data quality documentation problem solving and communication is preferred the role requires 2 3 years of relevant experience
JOB00021,Python Developer,Fractal Analytics,Remote,"Fractal Analytics is hiring a Python Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Django, Flask, SQL, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Remote and requires 5+ years of experience.",5+ years,Bachelor's Degree,6-10 LPA,Full-time,fractal analytics is hiring a python developer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python django flask sql git strong analytical thinking communication and attention to detail are required this position is based in remote and requires 5 years of experience
JOB00022,Machine Learning Engineer,Tech Mahindra,Nagpur,"We are looking for a Machine Learning Engineer to join our team at Tech Mahindra in Nagpur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Master's Degree,4-6 LPA,Full-time,we are looking for a machine learning engineer to join our team at tech mahindra in nagpur the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python machine learning tensorflow scikit learn docker experience with data quality documentation problem solving and communication is preferred the role requires 2 3 years of relevant experience
JOB00023,Data Scientist,Oracle,Jaipur,"We are looking for a Data Scientist to join our team at Oracle in Jaipur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Pandas, Machine Learning, Statistics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MCA,4-6 LPA,Internship,we are looking for a data scientist to join our team at oracle in jaipur the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python sql pandas machine learning statistics experience with data quality documentation problem solving and communication is preferred the role requires 0 1 years of relevant experience
JOB00024,Product Analyst,Wipro,Chennai,"Wipro is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Chennai and requires 5+ years of experience.",5+ years,MCA,4-6 LPA,Part-time,wipro is hiring a product analyst the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql python excel a b testing product analytics strong analytical thinking communication and attention to detail are required this position is based in chennai and requires 5 years of experience
JOB00025,DevOps Engineer,Microsoft,Thane,"Microsoft is hiring a DevOps Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Docker, Kubernetes, Jenkins, Linux. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 2-3 years of experience.",2-3 years,BCA,3-5 LPA,Part-time,microsoft is hiring a devops engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with aws docker kubernetes jenkins linux strong analytical thinking communication and attention to detail are required this position is based in thane and requires 2 3 years of experience
JOB00026,Web Developer,CloudPeak Systems,Delhi,"We are looking for a Web Developer to join our team at CloudPeak Systems in Delhi. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MCA,8-12 LPA,Part-time,we are looking for a web developer to join our team at cloudpeak systems in delhi the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include html css javascript react git experience with data quality documentation problem solving and communication is preferred the role requires 0 1 years of relevant experience
JOB00027,Data Analyst,CloudPeak Systems,Navi Mumbai,"We are looking for a Data Analyst to join our team at CloudPeak Systems in Navi Mumbai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Excel, Power BI, Tableau. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,Master's Degree,3-5 LPA,Contract,we are looking for a data analyst to join our team at cloudpeak systems in navi mumbai the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python sql excel power bi tableau experience with data quality documentation problem solving and communication is preferred the role requires 0 1 years of relevant experience
JOB00028,Data Scientist,Genpact,Hyderabad,"Genpact is hiring a Data Scientist. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Pandas, Machine Learning, Statistics. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 2-3 years of experience.",2-3 years,MBA,4-6 LPA,Part-time,genpact is hiring a data scientist the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python sql pandas machine learning statistics strong analytical thinking communication and attention to detail are required this position is based in hyderabad and requires 2 3 years of experience
JOB00029,QA Engineer,Mu Sigma,Gurugram,"Mu Sigma is hiring a QA Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Selenium, Python, Java, SQL, Automation Testing. Strong analytical thinking, communication and attention to detail are required. This position is based in Gurugram and requires 1-2 years of experience.",1-2 years,BCA,4-6 LPA,Full-time,mu sigma is hiring a qa engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with selenium python java sql automation testing strong analytical thinking communication and attention to detail are required this position is based in gurugram and requires 1 2 years of experience
JOB00030,Machine Learning Engineer,Amazon,Delhi,"Amazon is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Delhi and requires 3-5 years of experience.",3-5 years,BCA,10-15 LPA,Full-time,amazon is hiring a machine learning engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python machine learning tensorflow scikit learn docker strong analytical thinking communication and attention to detail are required this position is based in delhi and requires 3 5 years of experience
JOB00031,Machine Learning Engineer,DataSphere Analytics,Noida,"We are looking for a Machine Learning Engineer to join our team at DataSphere Analytics in Noida. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Bachelor's Degree,4-6 LPA,Part-time,we are looking for a machine learning engineer to join our team at datasphere analytics in noida the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python machine learning tensorflow scikit learn docker experience with data quality documentation problem solving and communication is preferred the role requires 2 3 years of relevant experience
JOB00032,Product Analyst,IBM,Bengaluru,"IBM is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 3-5 years of experience.",3-5 years,Master's Degree,6-10 LPA,Part-time,ibm is hiring a product analyst the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql python excel a b testing product analytics strong analytical thinking communication and attention to detail are required this position is based in bengaluru and requires 3 5 years of experience
JOB00033,Data Scientist,IBM,Remote,"We are looking for a Data Scientist to join our team at IBM in Remote. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Pandas, Machine Learning, Statistics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Bachelor's Degree,10-15 LPA,Full-time,we are looking for a data scientist to join our team at ibm in remote the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python sql pandas machine learning statistics experience with data quality documentation problem solving and communication is preferred the role requires 5 years of relevant experience
JOB00034,Data Scientist,Cognizant,Bengaluru,"Cognizant is hiring a Data Scientist. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Pandas, Machine Learning, Statistics. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 3-5 years of experience.",3-5 years,BCA,4-6 LPA,Internship,cognizant is hiring a data scientist the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with python sql pandas machine learning statistics strong analytical thinking communication and attention to detail are required this position is based in bengaluru and requires 3 5 years of experience
JOB00035,Business Analyst,Wipro,Noida,"Wipro is hiring a Business Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Excel, Power BI, Business Analysis, Requirements Gathering. Strong analytical thinking, communication and attention to detail are required. This position is based in Noida and requires 0-1 years of experience.",0-1 years,BCA,6-10 LPA,Contract,wipro is hiring a business analyst the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql excel power bi business analysis requirements gathering strong analytical thinking communication and attention to detail are required this position is based in noida and requires 0 1 years of experience
JOB00036,Data Engineer,Fractal Analytics,Thane,"We are looking for a Data Engineer to join our team at Fractal Analytics in Thane. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Spark, ETL, AWS. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,Master's Degree,5-8 LPA,Part-time,we are looking for a data engineer to join our team at fractal analytics in thane the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python sql spark etl aws experience with data quality documentation problem solving and communication is preferred the role requires 3 5 years of relevant experience
JOB00037,Business Analyst,Mu Sigma,Navi Mumbai,"Mu Sigma is hiring a Business Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Excel, Power BI, Business Analysis, Requirements Gathering. Strong analytical thinking, communication and attention to detail are required. This position is based in Navi Mumbai and requires 5+ years of experience.",5+ years,Bachelor's Degree,3-5 LPA,Full-time,mu sigma is hiring a business analyst the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql excel power bi business analysis requirements gathering strong analytical thinking communication and attention to detail are required this position is based in navi mumbai and requires 5 years of experience
JOB00038,QA Engineer,Oracle,Ahmedabad,"We are looking for a QA Engineer to join our team at Oracle in Ahmedabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Selenium, Python, Java, SQL, Automation Testing. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Master's Degree,8-12 LPA,Full-time,we are looking for a qa engineer to join our team at oracle in ahmedabad the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include selenium python java sql automation testing experience with data quality documentation problem solving and communication is preferred the role requires 5 years of relevant experience
JOB00039,Python Developer,CloudPeak Systems,Kolkata,"We are looking for a Python Developer to join our team at CloudPeak Systems in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Django, Flask, SQL, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MBA,6-10 LPA,Full-time,we are looking for a python developer to join our team at cloudpeak systems in kolkata the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python django flask sql git experience with data quality documentation problem solving and communication is preferred the role requires 0 1 years of relevant experience
JOB00040,QA Engineer,Cognizant,Kolkata,"We are looking for a QA Engineer to join our team at Cognizant in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Selenium, Python, Java, SQL, Automation Testing. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Bachelor's Degree,6-10 LPA,Contract,we are looking for a qa engineer to join our team at cognizant in kolkata the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include selenium python java sql automation testing experience with data quality documentation problem solving and communication is preferred the role requires 5 years of relevant experience
JOB00041,Cloud Engineer,Accenture,Thane,"Accenture is hiring a Cloud Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Azure, Linux, Docker, Cloud Computing. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 2-3 years of experience.",2-3 years,Master's Degree,6-10 LPA,Part-time,accenture is hiring a cloud engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with aws azure linux docker cloud computing strong analytical thinking communication and attention to detail are required this position is based in thane and requires 2 3 years of experience
JOB00042,DevOps Engineer,IBM,Delhi,"IBM is hiring a DevOps Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Docker, Kubernetes, Jenkins, Linux. Strong analytical thinking, communication and attention to detail are required. This position is based in Delhi and requires 0-1 years of experience.",0-1 years,Bachelor's Degree,8-12 LPA,Full-time,ibm is hiring a devops engineer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with aws docker kubernetes jenkins linux strong analytical thinking communication and attention to detail are required this position is based in delhi and requires 0 1 years of experience
JOB00043,Data Scientist,Fractal Analytics,Hyderabad,"We are looking for a Data Scientist to join our team at Fractal Analytics in Hyderabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Pandas, Machine Learning, Statistics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,B.Tech,5-8 LPA,Full-time,we are looking for a data scientist to join our team at fractal analytics in hyderabad the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include python sql pandas machine learning statistics experience with data quality documentation problem solving and communication is preferred the role requires 5 years of relevant experience
JOB00044,Web Developer,Tech Mahindra,Chennai,"Tech Mahindra is hiring a Web Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with HTML, CSS, JavaScript, React, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Chennai and requires 1-2 years of experience.",1-2 years,BCA,8-12 LPA,Full-time,tech mahindra is hiring a web developer the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with html css javascript react git strong analytical thinking communication and attention to detail are required this position is based in chennai and requires 1 2 years of experience
JOB00045,Product Analyst,Deloitte,Nagpur,"Deloitte is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 0-1 years of experience.",0-1 years,Master's Degree,3-5 LPA,Full-time,deloitte is hiring a product analyst the role involves working with cross functional teams analyzing requirements preparing reports and improving business processes candidates should have hands on experience with sql python excel a b testing product analytics strong analytical thinking communication and attention to detail are required this position is based in nagpur and requires 0 1 years of experience
JOB00046,Product Analyst,TCS,Chennai,"We are looking for a Product Analyst to join our team at TCS in Chennai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Python, Excel, A/B Testing, Product Analytics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,MCA,10-15 LPA,Contract,we are looking for a product analyst to join our team at tcs in chennai the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include sql python excel a b testing product analytics experience with data quality documentation problem solving and communication is preferred the role requires 2 3 years of relevant experience
JOB00047,SQL Developer,Capgemini,Ahmedabad,"We are looking for a SQL Developer to join our team at Capgemini in Ahmedabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, MySQL, PostgreSQL, Database, ETL. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,B.Tech,3-5 LPA,Internship,we are looking for a sql developer to join our team at capgemini in ahmedabad the candidate will analyze business data build reports collaborate with stakeholders and develop scalable solutions required skills include sql mysql postgresql database etl experience with data quality documentation problem solving and communication is preferred the role requires 3 5 years of relevant experience
