job_id,job_title,company,location,job_description,experience,education,salary,job_type
JOB00011,Product Analyst,Cognizant,Bengaluru,"Cognizant is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 3-5 years of experience.",3-5 years,BCA,10-15 LPA,Part-time
JOB00012,Database Administrator,DataSphere Analytics,Hyderabad,"DataSphere Analytics is hiring a Database Administrator. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, MySQL, PostgreSQL, Oracle, Database Administration. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 0-1 years of experience.",0-1 years,B.Tech,5-8 LPA,Full-time
JOB00013,SQL Developer,Mu Sigma,Nagpur,"Mu Sigma is hiring a SQL Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, MySQL, PostgreSQL, Database, ETL. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 2-3 years of experience.",2-3 years,Master's Degree,6-10 LPA,Internship
JOB00014,Software Engineer,Capgemini,Bengaluru,"Capgemini is hiring a Software Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Java, Git, SQL, REST API. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 1-2 years of experience.",1-2 years,MBA,10-15 LPA,Internship
JOB00015,QA Engineer,Microsoft,Delhi,"Microsoft is hiring a QA Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Selenium, Python, Java, SQL, Automation Testing. Strong analytical thinking, communication and attention to detail are required. This position is based in Delhi and requires 1-2 years of experience.",1-2 years,Master's Degree,3-5 LPA,Full-time
JOB00016,Machine Learning Engineer,TCS,Thane,"TCS is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 1-2 years of experience.",1-2 years,MBA,8-12 LPA,Full-time
JOB00017,Power BI Developer,Microsoft,Kolkata,"Microsoft is hiring a Power BI Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Power BI, DAX, Power Query, SQL, Excel. Strong analytical thinking, communication and attention to detail are required. This position is based in Kolkata and requires 3-5 years of experience.",3-5 years,MCA,8-12 LPA,Full-time
JOB00018,Machine Learning Engineer,Fractal Analytics,Remote,"Fractal Analytics is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Remote and requires 2-3 years of experience.",2-3 years,MBA,3-5 LPA,Contract
JOB00019,Data Engineer,Wipro,Gurugram,"Wipro is hiring a Data Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Spark, ETL, AWS. Strong analytical thinking, communication and attention to detail are required. This position is based in Gurugram and requires 0-1 years of experience.",0-1 years,MBA,8-12 LPA,Part-time
JOB00020,Marketing Analyst,Infosys,Jaipur,"We are looking for a Marketing Analyst to join our team at Infosys in Jaipur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Excel, SQL, Python, Marketing Analytics, Power BI. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,MBA,4-6 LPA,Contract
JOB00021,Python Developer,Fractal Analytics,Remote,"Fractal Analytics is hiring a Python Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Django, Flask, SQL, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Remote and requires 5+ years of experience.",5+ years,Bachelor's Degree,6-10 LPA,Full-time
JOB00022,Machine Learning Engineer,Tech Mahindra,Nagpur,"We are looking for a Machine Learning Engineer to join our team at Tech Mahindra in Nagpur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Master's Degree,4-6 LPA,Full-time
JOB00023,Data Scientist,Oracle,Jaipur,"We are looking for a Data Scientist to join our team at Oracle in Jaipur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Pandas, Machine Learning, Statistics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MCA,4-6 LPA,Internship
JOB00024,Product Analyst,Wipro,Chennai,"Wipro is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Chennai and requires 5+ years of experience.",5+ years,MCA,4-6 LPA,Part-time
JOB00025,DevOps Engineer,Microsoft,Thane,"Microsoft is hiring a DevOps Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Docker, Kubernetes, Jenkins, Linux. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 2-3 years of experience.",2-3 years,BCA,3-5 LPA,Part-time
JOB00026,Web Developer,CloudPeak Systems,Delhi,"We are looking for a Web Developer to join our team at CloudPeak Systems in Delhi. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MCA,8-12 LPA,Part-time
JOB00027,Data Analyst,CloudPeak Systems,Navi Mumbai,"We are looking for a Data Analyst to join our team at CloudPeak Systems in Navi Mumbai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Excel, Power BI, Tableau. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,Master's Degree,3-5 LPA,Contract
JOB00028,Data Scientist,Genpact,Hyderabad,"Genpact is hiring a Data Scientist. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Pandas, Machine Learning, Statistics. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 2-3 years of experience.",2-3 years,MBA,4-6 LPA,Part-time
JOB00029,QA Engineer,Mu Sigma,Gurugram,"Mu Sigma is hiring a QA Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Selenium, Python, Java, SQL, Automation Testing. Strong analytical thinking, communication and attention to detail are required. This position is based in Gurugram and requires 1-2 years of experience.",1-2 years,BCA,4-6 LPA,Full-time
JOB00030,Machine Learning Engineer,Amazon,Delhi,"Amazon is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Delhi and requires 3-5 years of experience.",3-5 years,BCA,10-15 LPA,Full-time
JOB00031,Machine Learning Engineer,DataSphere Analytics,Noida,"We are looking for a Machine Learning Engineer to join our team at DataSphere Analytics in Noida. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Bachelor's Degree,4-6 LPA,Part-time
JOB00032,Product Analyst,IBM,Bengaluru,"IBM is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 3-5 years of experience.",3-5 years,Master's Degree,6-10 LPA,Part-time
JOB00033,Data Scientist,IBM,Remote,"We are looking for a Data Scientist to join our team at IBM in Remote. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Pandas, Machine Learning, Statistics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Bachelor's Degree,10-15 LPA,Full-time
JOB00034,Data Scientist,Cognizant,Bengaluru,"Cognizant is hiring a Data Scientist. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Pandas, Machine Learning, Statistics. Strong analytical thinking, communication and attention to detail are required. This position is based in Bengaluru and requires 3-5 years of experience.",3-5 years,BCA,4-6 LPA,Internship
JOB00035,Business Analyst,Wipro,Noida,"Wipro is hiring a Business Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Excel, Power BI, Business Analysis, Requirements Gathering. Strong analytical thinking, communication and attention to detail are required. This position is based in Noida and requires 0-1 years of experience.",0-1 years,BCA,6-10 LPA,Contract
JOB00036,Data Engineer,Fractal Analytics,Thane,"We are looking for a Data Engineer to join our team at Fractal Analytics in Thane. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Spark, ETL, AWS. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,Master's Degree,5-8 LPA,Part-time
JOB00037,Business Analyst,Mu Sigma,Navi Mumbai,"Mu Sigma is hiring a Business Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Excel, Power BI, Business Analysis, Requirements Gathering. Strong analytical thinking, communication and attention to detail are required. This position is based in Navi Mumbai and requires 5+ years of experience.",5+ years,Bachelor's Degree,3-5 LPA,Full-time
JOB00038,QA Engineer,Oracle,Ahmedabad,"We are looking for a QA Engineer to join our team at Oracle in Ahmedabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Selenium, Python, Java, SQL, Automation Testing. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Master's Degree,8-12 LPA,Full-time
JOB00039,Python Developer,CloudPeak Systems,Kolkata,"We are looking for a Python Developer to join our team at CloudPeak Systems in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Django, Flask, SQL, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MBA,6-10 LPA,Full-time
JOB00040,QA Engineer,Cognizant,Kolkata,"We are looking for a QA Engineer to join our team at Cognizant in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Selenium, Python, Java, SQL, Automation Testing. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Bachelor's Degree,6-10 LPA,Contract
JOB00041,Cloud Engineer,Accenture,Thane,"Accenture is hiring a Cloud Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Azure, Linux, Docker, Cloud Computing. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 2-3 years of experience.",2-3 years,Master's Degree,6-10 LPA,Part-time
JOB00042,DevOps Engineer,IBM,Delhi,"IBM is hiring a DevOps Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Docker, Kubernetes, Jenkins, Linux. Strong analytical thinking, communication and attention to detail are required. This position is based in Delhi and requires 0-1 years of experience.",0-1 years,Bachelor's Degree,8-12 LPA,Full-time
JOB00043,Data Scientist,Fractal Analytics,Hyderabad,"We are looking for a Data Scientist to join our team at Fractal Analytics in Hyderabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, SQL, Pandas, Machine Learning, Statistics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,B.Tech,5-8 LPA,Full-time
JOB00044,Web Developer,Tech Mahindra,Chennai,"Tech Mahindra is hiring a Web Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with HTML, CSS, JavaScript, React, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Chennai and requires 1-2 years of experience.",1-2 years,BCA,8-12 LPA,Full-time
JOB00045,Product Analyst,Deloitte,Nagpur,"Deloitte is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 0-1 years of experience.",0-1 years,Master's Degree,3-5 LPA,Full-time
JOB00046,Product Analyst,TCS,Chennai,"We are looking for a Product Analyst to join our team at TCS in Chennai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Python, Excel, A/B Testing, Product Analytics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,MCA,10-15 LPA,Contract
JOB00047,SQL Developer,Capgemini,Ahmedabad,"We are looking for a SQL Developer to join our team at Capgemini in Ahmedabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, MySQL, PostgreSQL, Database, ETL. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,B.Tech,3-5 LPA,Internship
JOB00048,Cloud Engineer,DataSphere Analytics,Mumbai,"DataSphere Analytics is hiring a Cloud Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Azure, Linux, Docker, Cloud Computing. Strong analytical thinking, communication and attention to detail are required. This position is based in Mumbai and requires 2-3 years of experience.",2-3 years,Master's Degree,4-6 LPA,Internship
JOB00049,Product Analyst,Amazon,Ahmedabad,"We are looking for a Product Analyst to join our team at Amazon in Ahmedabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Python, Excel, A/B Testing, Product Analytics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,Bachelor's Degree,10-15 LPA,Part-time
JOB00050,Product Analyst,DataSphere Analytics,Jaipur,"We are looking for a Product Analyst to join our team at DataSphere Analytics in Jaipur. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Python, Excel, A/B Testing, Product Analytics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,MCA,6-10 LPA,Part-time
JOB00051,Business Analyst,Deloitte,Delhi,"We are looking for a Business Analyst to join our team at Deloitte in Delhi. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Excel, Power BI, Business Analysis, Requirements Gathering. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,B.Tech,10-15 LPA,Part-time
JOB00052,Machine Learning Engineer,Tech Mahindra,Remote,"We are looking for a Machine Learning Engineer to join our team at Tech Mahindra in Remote. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,BCA,4-6 LPA,Part-time
JOB00053,Python Developer,Amazon,Mumbai,"Amazon is hiring a Python Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Django, Flask, SQL, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Mumbai and requires 1-2 years of experience.",1-2 years,MBA,6-10 LPA,Part-time
JOB00054,Cloud Engineer,Wipro,Remote,"We are looking for a Cloud Engineer to join our team at Wipro in Remote. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include AWS, Azure, Linux, Docker, Cloud Computing. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,BCA,6-10 LPA,Part-time
JOB00055,SQL Developer,IBM,Delhi,"We are looking for a SQL Developer to join our team at IBM in Delhi. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, MySQL, PostgreSQL, Database, ETL. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Master's Degree,3-5 LPA,Part-time
JOB00056,Power BI Developer,HCL Technologies,Chennai,"HCL Technologies is hiring a Power BI Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Power BI, DAX, Power Query, SQL, Excel. Strong analytical thinking, communication and attention to detail are required. This position is based in Chennai and requires 0-1 years of experience.",0-1 years,B.Tech,10-15 LPA,Internship
JOB00057,Product Analyst,HCL Technologies,Mumbai,"We are looking for a Product Analyst to join our team at HCL Technologies in Mumbai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Python, Excel, A/B Testing, Product Analytics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,B.Tech,8-12 LPA,Contract
JOB00058,Business Analyst,Infosys,Kolkata,"Infosys is hiring a Business Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Excel, Power BI, Business Analysis, Requirements Gathering. Strong analytical thinking, communication and attention to detail are required. This position is based in Kolkata and requires 3-5 years of experience.",3-5 years,B.Tech,6-10 LPA,Full-time
JOB00059,Power BI Developer,Mu Sigma,Hyderabad,"Mu Sigma is hiring a Power BI Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Power BI, DAX, Power Query, SQL, Excel. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 2-3 years of experience.",2-3 years,Bachelor's Degree,3-5 LPA,Part-time
JOB00060,BI Analyst,Amazon,Pune,"Amazon is hiring a BI Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Power BI, Excel, DAX, Data Visualization. Strong analytical thinking, communication and attention to detail are required. This position is based in Pune and requires 2-3 years of experience.",2-3 years,MCA,10-15 LPA,Full-time
JOB00061,DevOps Engineer,Genpact,Chennai,"Genpact is hiring a DevOps Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with AWS, Docker, Kubernetes, Jenkins, Linux. Strong analytical thinking, communication and attention to detail are required. This position is based in Chennai and requires 3-5 years of experience.",3-5 years,B.Tech,10-15 LPA,Contract
JOB00062,Product Analyst,TCS,Hyderabad,"TCS is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 3-5 years of experience.",3-5 years,MBA,10-15 LPA,Part-time
JOB00063,Full Stack Developer,Mu Sigma,Chennai,"We are looking for a Full Stack Developer to join our team at Mu Sigma in Chennai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Node.js. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,MCA,5-8 LPA,Contract
JOB00064,SQL Developer,Amazon,Remote,"Amazon is hiring a SQL Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, MySQL, PostgreSQL, Database, ETL. Strong analytical thinking, communication and attention to detail are required. This position is based in Remote and requires 5+ years of experience.",5+ years,MCA,6-10 LPA,Internship
JOB00065,HR Analyst,Accenture,Ahmedabad,"We are looking for a HR Analyst to join our team at Accenture in Ahmedabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Excel, SQL, Power BI, HR Analytics, Data Analysis. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,MBA,10-15 LPA,Full-time
JOB00066,DevOps Engineer,Genpact,Thane,"We are looking for a DevOps Engineer to join our team at Genpact in Thane. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include AWS, Docker, Kubernetes, Jenkins, Linux. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,B.Tech,4-6 LPA,Contract
JOB00067,Web Developer,Accenture,Bengaluru,"We are looking for a Web Developer to join our team at Accenture in Bengaluru. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,Bachelor's Degree,6-10 LPA,Full-time
JOB00068,HR Analyst,Amazon,Nagpur,"Amazon is hiring a HR Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Excel, SQL, Power BI, HR Analytics, Data Analysis. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 5+ years of experience.",5+ years,Master's Degree,6-10 LPA,Internship
JOB00069,Web Developer,TCS,Thane,"TCS is hiring a Web Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with HTML, CSS, JavaScript, React, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Thane and requires 0-1 years of experience.",0-1 years,Bachelor's Degree,4-6 LPA,Part-time
JOB00070,Marketing Analyst,IBM,Mumbai,"We are looking for a Marketing Analyst to join our team at IBM in Mumbai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Excel, SQL, Python, Marketing Analytics, Power BI. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,Master's Degree,6-10 LPA,Part-time
JOB00071,HR Analyst,Genpact,Ahmedabad,"Genpact is hiring a HR Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Excel, SQL, Power BI, HR Analytics, Data Analysis. Strong analytical thinking, communication and attention to detail are required. This position is based in Ahmedabad and requires 5+ years of experience.",5+ years,B.Tech,8-12 LPA,Internship
JOB00072,Product Analyst,IBM,Nagpur,"IBM is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 1-2 years of experience.",1-2 years,MBA,6-10 LPA,Contract
JOB00073,Web Developer,Capgemini,Remote,"We are looking for a Web Developer to join our team at Capgemini in Remote. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 5+ years of relevant experience.",5+ years,BCA,5-8 LPA,Internship
JOB00074,Data Scientist,Deloitte,Hyderabad,"Deloitte is hiring a Data Scientist. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, SQL, Pandas, Machine Learning, Statistics. Strong analytical thinking, communication and attention to detail are required. This position is based in Hyderabad and requires 2-3 years of experience.",2-3 years,B.Tech,8-12 LPA,Full-time
JOB00075,Software Engineer,TCS,Hyderabad,"We are looking for a Software Engineer to join our team at TCS in Hyderabad. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Java, Git, SQL, REST API. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,MBA,10-15 LPA,Part-time
